species,n_nests,group
AMGP,82,shorebird
ARTE,183,other
BBPL,212,shorebird
BRAN,55,goose
CACG,14,goose
CAGO,137,goose
COEI,4,duck
DUNL,173,shorebird
HERG,226,other
HOLA,2,landbird
KIEI,90,duck
LALO,73,landbird
LTDU,6,duck
LTJA,2,other
PAJA,13,other
PALO,21,other
PESA,3,shorebird
PUSA,4,shorebird
REKN,7,shorebird
REPH,372,shorebird
RNPH,6,shorebird
RTLO,82,other
RUTU,386,shorebird
SAGU,273,gull
SAND,5,shorebird
SEPL,152,shorebird
SESA,328,shorebird
SNBU,12,landbird
SNGO,14,goose
WRSA,437,shorebird
